ID;nom;adresse;commune;etat;type;geo;nbVelosDispo;nbPlacesDispo;etatConnexion;datemiseajour;localisation
15;ESPLANADE;PONT DU PETIT PARADIS;LILLE;EN SERVICE;AVEC TPE;50.6449,3.050645;11;13;CONNECTED;2021-02-17T17:06:54+01:00;50.6449,3.050645
24;FLANDRES EURALILLE;PLACE DES BUISSES;LILLE;EN SERVICE;AVEC TPE;50.63698,3.071009;19;21;CONNECTED;2021-02-17T17:06:54+01:00;50.63698,3.071009
176;FACULTÉ DE MÉDECINE;Avenue Eugène Avinée;LOOS;OUT_OF_SERVICE;AVEC TPE;50.604525,3.031224;0;20;CONNECTED;2021-02-17T17:06:55+01:00;50.604525,3.031224
92;RUE DE LA GAITE;9 RUE MARCEAU;LILLE;HORS SERVICE;AVEC TPE;50.63665,3.091106;0;0;DISCONNECTED;2019-07-10T17:39:06+02:00;50.63665,3.091106
53;PORTE DES POSTES;1 PLACE BARTHELEMY DOREZ;LILLE;EN SERVICE;AVEC TPE;50.61856,3.049251;12;26;CONNECTED;2021-02-17T17:06:54+01:00;50.61856,3.049251
210;LINNE;192, AVENUE DE LINNÉ;ROUBAIX;EN SERVICE;SANS TPE;50.676884,3.187817;8;4;CONNECTED;2021-02-17T17:06:55+01:00;50.676884,3.187817
262;WATTRELOS PLACE;2-10, D660;WATTRELOS;HORS SERVICE;AVEC TPE;50.701187,3.215011;0;1;DISCONNECTED;2019-07-10T17:48:05+02:00;50.701187,3.215011
147;FAUBOURG D'ARRAS;2 RUE MARCEL HÉNAUX;LILLE;EN SERVICE;SANS TPE;50.614052,3.062195;6;10;CONNECTED;2021-02-17T17:06:55+01:00;50.614052,3.062195
217;HOPITAL VICTOR PROVO;BOULEVARD DE LYON;ROUBAIX;EN SERVICE;SANS TPE;50.67869,3.172558;7;9;CONNECTED;2021-02-17T17:06:55+01:00;50.67869,3.172558
156;ST ANDRE MAIRIE;FACE AU 92 RUE DU GENERAL LECLERC;SAINT ANDRE LEZ LILLE;EN SERVICE;AVEC TPE;50.661602,3.050322;10;14;CONNECTED;2021-02-17T17:06:55+01:00;50.661602,3.050322
263;STALINGRAD;38-4 RUE DE STALINGRAD;WATTRELOS;HORS SERVICE;AVEC TPE;50.69626,3.209156;0;1;DISCONNECTED;2019-07-16T13:10:07+02:00;50.69626,3.209156
1;METROPOLE EUROPEENNE DE LILLE;MEL RUE DU BALLON;LILLE;EN SERVICE;AVEC TPE;50.641926,3.075992;13;23;CONNECTED;2021-02-17T17:06:54+01:00;50.641926,3.075992
40;METRO GAMBETTA;41 RUE DU MARCHE;LILLE;EN SERVICE;AVEC TPE;50.62614,3.051729;5;11;CONNECTED;2021-02-17T17:06:54+01:00;50.62614,3.051729
157;CANON D'OR;FACE AU 255 RUE DE LILLE;LAMBERSART;EN SERVICE;AVEC TPE;50.64989,3.042045;15;1;CONNECTED;2021-02-17T17:06:55+01:00;50.64989,3.042045
13;QUAI DU WAULT;17 SQUARE DUTILLEUL;LILLE;EN SERVICE;AVEC TPE;50.63671,3.054773;12;6;CONNECTED;2021-02-17T17:06:54+01:00;50.63671,3.054773
61;LILLE GRAND PALAIS;30 BOULEVARD DU MARECHAL VAILLANT;LILLE;EN SERVICE;AVEC TPE;50.629246,3.075218;3;21;CONNECTED;2021-02-17T17:06:54+01:00;50.629246,3.075218
158;DELECAUT;FACE AU 102 AVENUE HENRI DELECAUX;LAMBERSART;EN SERVICE;AVEC TPE;50.644943,3.036932;11;9;CONNECTED;2021-02-17T17:06:55+01:00;50.644943,3.036932
18;VOLTAIRE;93 RUE ROYALE;LILLE;EN SERVICE;AVEC TPE;50.6428,3.055932;9;5;CONNECTED;2021-02-17T17:06:54+01:00;50.6428,3.055932
62;ZENITH;BOULEVARD EMILE DUBUISSON;LILLE;EN SERVICE;AVEC TPE;50.632965,3.076437;16;14;CONNECTED;2021-02-17T17:06:54+01:00;50.632965,3.076437
60;TREVISE;114 RUE DE DOUAI;LILLE;EN SERVICE;AVEC TPE;50.621185,3.072363;6;14;CONNECTED;2021-02-17T17:06:54+01:00;50.621185,3.072363
165;JEAN SANS PEUR;68 RUE JEAN SANS PEUR;LILLE;EN SERVICE;AVEC TPE;50.632367,3.05816;0;14;CONNECTED;2021-02-17T17:06:55+01:00;50.632367,3.05816
100;SAINT MAUR;260 AVENUE DE LA REPUBLIQUE;LA MADELEINE;EN SERVICE;AVEC TPE;50.651638,3.081625;3;21;CONNECTED;2021-02-17T17:06:54+01:00;50.651638,3.081625
38;PLACE CASQUETTE;1 RUE D'HAUBOURDIN;LILLE;EN SERVICE;AVEC TPE;50.62429,3.045321;7;11;CONNECTED;2021-02-17T17:06:54+01:00;50.62429,3.045321
109;SQUARE DU PORTUGAL;FACE AU 204 RUE DE LA BASSEE;LILLE;HORS SERVICE;AVEC TPE;50.623466,3.030667;0;0;DISCONNECTED;2019-07-10T17:40:06+02:00;50.623466,3.030667
113;AVENUE DE MORMAL;16, RUE DU BUISSON;LILLE;EN SERVICE;SANS TPE;50.651337,3.08945;2;16;CONNECTED;2021-02-17T17:06:54+01:00;50.651337,3.08945
39;MARCHE DE WAZEMMES;298 RUE LEON GAMBETTA;LILLE;EN SERVICE;AVEC TPE;50.627674,3.050173;3;20;CONNECTED;2021-02-17T17:06:54+01:00;50.627674,3.050173
25;GARE LILLE FLANDRES;PLACE DE LA GARE;LILLE;EN SERVICE;AVEC TPE;50.63603,3.069678;12;8;CONNECTED;2021-02-17T17:06:54+01:00;50.63603,3.069678
224;CENTRE NAUTIQUE;26, RUE DE L'EPEULE;ROUBAIX;EN SERVICE;AVEC TPE;50.691406,3.162704;7;7;CONNECTED;2021-02-17T17:06:55+01:00;50.691406,3.162704
41;BUISSON;681 AVENUE DE LA REPUBLIQUE;LILLE;EN SERVICE;AVEC TPE;50.656487,3.088004;1;15;CONNECTED;2021-02-17T17:06:54+01:00;50.656487,3.088004
51;JB LEBAS;2 RUE CAMBRAI;LILLE;EN SERVICE;AVEC TPE;50.62482,3.068689;9;23;CONNECTED;2021-02-17T17:06:54+01:00;50.62482,3.068689
236;CHAPTAL;3, RUE D'AVELGHEM;ROUBAIX;EN SERVICE;SANS TPE;50.694714,3.192643;6;6;CONNECTED;2021-02-17T17:06:55+01:00;50.694714,3.192643
94;MARX DORMOY;RUE DE BORDEAUX;LILLE;EN SERVICE;AVEC TPE;50.63579,3.033977;15;9;CONNECTED;2021-02-17T17:06:54+01:00;50.63579,3.033977
